category,exact_object_or_asset,current_issue,proposed_replacement_or_action,expected_benefit,development_effort,regression_risk,visual_impact,affects,how_to_validate
A,Main scene media path and hosting: RemoteMediaConfig + video controllers,Seven VideoPlayers are present; components have no direct clips/URLs in scene audit and scripts resolve runtime URLs. Large videos exist in Assets and remote resolver is configured. Broken or local fallback media can cause stalls or failed playback in WebGL.,Finalize CDN URLs and keep large videos out of the player data/StreamingAssets where possible; validate every configured filename.,High: reduces download/player package pressure and avoids browser video decode/load failures.,Low to medium,Medium,None if URLs point to same encoded media,WebGL primarily,Network tab shows videos fetched on demand; no video files in WebGL data payload; playback works after cache clear.
A,Main scene shadow casters,"1,939 of 2,046 renderers cast shadows while only 2 realtime lights exist and no baked lights are recorded.","Bake static lighting where possible; disable realtime shadows on small clutter, flowers, distant foliage, exhibit props, and architectural pieces whose shadows are not perceptible.",High: reduces shadow-pass draw calls and vertex work; likely more valuable than replacing wall meshes.,Medium,Medium,Low to medium depending on aggressive cuts,WebGL and Quest,Frame Debugger/Profiler: shadow caster draws drop; compare before/after frame time in WebGL build.
A,Main scene draw-call/material surface,"2,046 renderers, 2,140 material slots, 305 unique materials; only 81 static-batching/occlusion-static renderers.","Group static home/environment meshes by material, atlas repeated materials, mark occluders/occludees, use SRP Batcher-compatible materials, and instance repeated vegetation/flowers where applicable.",High on WebGL because CPU/draw-call overhead often dominates before raw geometry.,Medium to high,Medium,Low if materials are preserved,WebGL and Quest,Profiler: Batches/SetPass calls drop; scene totals show more static/occlusion candidates.
A,Build-scene texture memory,Build-enabled scenes reference ~596 MB runtime texture memory before engine/WASM overhead; texture streaming disabled; several 2048 textures are used once.,"Add WebGL platform texture overrides; cap small/secondary props at 512-1024, compress normal/mask maps appropriately, enable mipmap streaming if camera use supports it.",High: lowers memory pressure and initial GPU uploads.,Medium,Low,Low if caps are chosen by asset importance,WebGL and Quest,Memory Profiler and browser memory show reduced texture memory; visual spot-check cultural media/artwork.
B,"High-poly exhibit artifacts: metal_table_asset.glb, LL_PhotoAlbum.glb, glass_fish.glb, japanese_red_bridge.glb, drum.glb","Top five source assets contribute ~1.50M triangles, over half of main renderer triangles.",Decimate or LOD these objects; keep close-up hero versions only where inspected; add impostor/low LOD for distant states.,High/valuable: these are much larger geometry wins than wall replacement.,Medium,Medium,Medium for culturally important artifacts; validate carefully,WebGL and Quest,Triangle count and visible triangles drop; compare close-view screenshots.
B,Terrain_main / Terrain,Terrain adds an estimated 524k triangles; quality uses terrain detail/tree distances and 66 trees.,"Raise terrain pixel error for WebGL, tune detail/tree draw distances, use billboards/impostors for distant vegetation, simplify terrain layers.","Medium to high, especially on lower-powered browsers.",Medium,Low,Low to medium,WebGL and Quest,Profiler terrain render time drops; no visible popping at intended routes.
B,Idyllic Italian Coast Town structural subset,"Main scene uses ~108.6k structural triangles from wall_base, wall_pillar, roof, floor, street, plus ~25k prop/fence triangles.",Keep visible architecture but simplify repeated pillars/walls and merge/atlas materials; replace only decorative/noninteractive flat pieces with baked textures/decals.,"Medium at most: about 4.9% of renderer triangles, but 216 renderers add draw-call/shadow overhead.",Medium,Medium,Medium if nearby geometry loses depth/parallax,WebGL and Quest,Compare triangle/renderers/shadow casters for Italian source assets; screenshot roof/pillars/stairs.
C,Structural walls/floors/ceilings as wholesale sprite conversion,"Nearby architecture requires collision, parallax, shadows, and first-person/XR depth.","Do not convert primary structural walls, floors, ceilings, porches, stairs, and nearby windows/doors to sprites. Use meshes/planes with baked detail instead.",Low relative to risk; artifacts would be visible.,High,High,High,WebGL and Quest,A/B camera path check for parallax/depth artifacts.
C,Low-poly Italian wall_base instances,147 wall_base renderers total 44.1k triangles; each is only 300 triangles.,Prefer combining/static batching/material consolidation over remodelling every piece.,Low to medium; renderer count matters more than mesh complexity here.,Medium,Low,Low,WebGL and Quest,Batches drop more than triangles; visual unchanged.
D,LoadingScene geometry,LoadingScene has 0 renderers and 1 camera.,No architectural replacement needed.,None.,None,None,None,Both,N/A
D,BlackKitchen_MemoryScene architecture,"Disabled from Build Settings and Addressables remote group contains `BlackKitchen_MemoryScene`; scene has 676k triangles, 27 renderers, 7 materials, 0 mesh colliders.",Keep remote/additive strategy; optimize scanned mesh/textures only if its remote bundle is too large or WebGL memory spikes during exhibit entry.,Not part of initial main player cost if Addressables are built/deployed correctly.,Medium,Medium,Medium,WebGL primarily,Addressables report and runtime memory before/after loading exhibit.
