asset	triangles	vertices	meshes	materials	textures	maxTexDim	texMemEstMB
Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb	659560	478024	1	1	1	4096	11.2
Assets/BCaT_assets/9night/drum.glb	190100	179321	3	1	2	1024	1.4
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	83712	59334	77	77	1	1024	1.4
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb	10652	9830	6	5	8	2048	28.0
Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb	370088	196207	3	1	1	2048	5.6
Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb	101558	92549	4	3	0	0	0.0
Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest.glb	21656	12259	1	1	1	1024	4.2
Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest_chair.glb	14130	10046	1	1	1	1024	4.2
Assets/BCaT_assets/HOMED/Models/Candle.glb	4732	3242	1	1	1	1024	0.7
Assets/BCaT_assets/HOMED/Models/Recipe-Box.glb	16135	11259	1	1	1	1024	0.7
Assets/BCaT_assets/LindaLeaks/Models/LL_AntiqueCamera.glb	17946	18865	1	1	4	1024	3.5
Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb	179744	105140	2	1	1	1024	0.7
Assets/BCaT_assets/Ri/glass_fish.glb	300000	187307	4	2	3	1024	2.8
Assets/BCaT_assets/SewingRoom/bed.glb	5739	4415	5	5	15	2048	55.9
Assets/BCaT_assets/SewingRoom/old_sewing_box.glb	10344	5491	1	1	3	2048	11.2
Assets/My_Custom/dishwasher.glb	3128	2201	1	1	1	2048	5.6
Assets/My_Custom/japanese_red_bridge.glb	275718	356598	10	2	6	1024	5.6
Assets/My_Custom/modern_scandinavian_kitchen_island.glb	65972	62413	31	31	19	2048	51.0
Assets/My_Custom/morten-s.glb	26011	23840	21	16	3	1024	1.1
Assets/My_Custom/zedah_prevalent_52_inch_luxury_fan.glb	5752	5938	11	3	1	2048	2.8
