"Project","Contributor","Expected Location","Found In Unity","Scene/Object","Assets Found","Assets Used In Scene","Interaction Type","Script/Component","Status","Issues","Recommended Next Action","Evidence"
"Homed: Recipes for Survival","Montia Daniels","Main scene BCaT cluster","Yes","Assets/BH_XR_MainScene.unity / _SceneContent/BCaT_Assets/HOMED","HOMED prefab; Candle.glb; Recipe-Box.glb; Box_Img.mat; Letters.mat; Rice.mat; Recipe_box_img.jpeg; Recipe_Box_letters.png; Recipe_Box_Rice.jpeg","HOMED prefab; Candle.glb; Recipe-Box.glb; Box_Img.mat; Letters.mat; Rice.mat; Recipe_box_img.jpeg; Recipe_Box_letters.png; Recipe_Box_Rice.jpeg; URL https://arcg.is/0e8zi1","XR select plus keyboard E raycast URL launch","InteractableLinkLauncher; XRSimpleInteractable; BoxCollider; TMP_Text; Canvas; missing BillboardToCamera","COMPLETE","Missing BillboardToCamera script GUID on prompt objects","Restore or replace BillboardToCamera and verify prompt facing plus outbound link behavior","ProjectSettings/EditorBuildSettings.asset:7; Assets/BH_XR_MainScene.unity:49264; Assets/BCaT_assets/HOMED/Prefabs/HOMED.prefab:542; Assets/BCaT_assets/HOMED/Prefabs/HOMED.prefab:561"
"Black Family Museum & Archive","Fatou Sow + collaborators","Main scene BCaT cluster","Yes","Assets/BH_XR_MainScene.unity / _SceneContent/BCaT_Assets/BFM_Chest_OnChair_W_Text","BFM_Chest_OnChair_W_Text.prefab; chest.glb; chest_chair.glb; unused alternate prefab BFM_Chest_OnChair.prefab","BFM_Chest_OnChair_W_Text.prefab; chest.glb; chest_chair.glb; URL https://www.artsteps.com/view/686a8082dc1f3854ff83dc73","XR select plus keyboard E raycast URL launch","InteractableLinkLauncher serialized as ChestMuseumLauncher; XRSimpleInteractable; BoxCollider; Rigidbody; TMP_Text; missing BillboardToCamera","COMPLETE","Missing BillboardToCamera script GUID; alternate prefab BFM_Chest_OnChair.prefab not instantiated","Restore or replace BillboardToCamera and remove or archive the unused alternate prefab if obsolete","Assets/BH_XR_MainScene.unity:49095; Assets/BCaT_assets/BlackFamilyMuseumArchive/Prefabs/BFM_Chest_OnChair_W_Text.prefab:505; Assets/BCaT_assets/BlackFamilyMuseumArchive/Prefabs/BFM_Chest_OnChair_W_Text.prefab:394"
"Black Parlors / Boardinghouses Web Exhibition","Psyche Williams-Forson; Cheryl Hicks; Carla McGinnis","Main scene BCaT cluster","Yes","Assets/BH_XR_MainScene.unity / _SceneContent/BCaT_Assets/Black_Parlors","Black_Parlors.prefab; pictureframe.prefab; Photo_Parlor.mat; Parlor_img.jpg; duplicate local picture-frame FBX and texture also present","Black_Parlors.prefab; pictureframe.prefab; Photo_Parlor.mat; Parlor_img.jpg; URL https://storymaps.arcgis.com/stories/5adbdcc2e9624b1ca952e9639d2850cb","XR select plus keyboard E raycast URL launch","InteractableLinkLauncher; XRSimpleInteractable; TMP_Text; Canvas; missing BillboardToCamera","COMPLETE","Missing BillboardToCamera script GUID; serialized projectName differs from requested title; duplicate local picture-frame source assets are unused","Restore or replace BillboardToCamera and decide whether Unity naming should match the requested exhibition title","Assets/BH_XR_MainScene.unity:44087; Assets/BCaT_assets/BlackParlors/Prefabs/Black_Parlors.prefab:491; Assets/BCaT_assets/BlackParlors/Prefabs/Black_Parlors.prefab:405"
"Breonna Taylor / Say Her Name mural archive","Alisa Hardy","Backyard","Yes, but grouped under BTMMP_Workstation_Assembly","Assets/BH_XR_MainScene.unity / _SceneContent/BCaT_Assets/BTMMP_Workstation_Assembly / pictureframe","pictureframe prefab; BreonnaTaylorMural.mat; breonna-taylor-mural-img.jpeg; BTMMP_Workstation_Assembly static props and source textures","pictureframe prefab with scene material override to BreonnaTaylorMural.mat; breonna-taylor-mural-img.jpeg; URL https://storymaps.arcgis.com/stories/de98c95d0ae94f34bcd4b53cdf10c6ed","XR select plus keyboard E raycast URL launch on frame","InteractableLinkLauncher; XRSimpleInteractable; BoxCollider; standalone blank TMP prompt; missing BillboardToCamera","PARTIAL","Prompt text object exists but is blank; launcher promptText is unassigned; missing BillboardToCamera; grouping name obscures ownership","Wire or populate the prompt, restore prompt-facing behavior, and regroup or rename the scene hierarchy for explicit ownership","Assets/BH_XR_MainScene.unity:122; Assets/BH_XR_MainScene.unity:36431; Assets/BH_XR_MainScene.unity:31635"
"Sewing Room","Maurika Smutherman","Main scene BCaT cluster","Yes","Assets/BH_XR_MainScene.unity / _SceneContent/BCaT_Assets/Sewing_Room","sewing_machine.glb; bed.glb; pillow__quilt.glb; old_sewing_box.glb; needle_and_thread.glb; sewing-sounds.wav; in_my_sisters_room_audio.wav; VideoTexture.renderTexture; StreamingAssets/in_my_sisters_room_xr.mp4","All listed SewingRoom assets plus StreamingAssets/in_my_sisters_room_xr.mp4 are used in the main scene path","Player enters trigger then presses keyboard E to open popup video; ambient sewing audio autoplays","QuiltVideoPopUp; BoxCollider trigger; Rigidbody; AudioSource; VideoPlayer; TMP_Text; Canvas; RawImage; missing BillboardToCamera on prompts","COMPLETE","Prompt objects reference missing BillboardToCamera; scene serializes a non-portable absolute VideoPlayer URL; no XR select path found for quilt popup","Restore or replace BillboardToCamera and test the quilt trigger plus streaming video path in the target runtime","Assets/Scripts/QuiltVideoPopUp.cs:1; Assets/BH_XR_MainScene.unity:15320; Assets/BH_XR_MainScene.unity:31307"
"Nine Night and Good Mourning","Christin Washington","Main scene BCaT cluster","Yes","Assets/BH_XR_MainScene.unity / _SceneContent/BCaT_Assets/9Night","drum.glb; 9night-soundscape.wav","drum.glb; 9night-soundscape.wav; descriptive prompt text","No interaction found; ambient audio loops on awake","AudioSource; TMP_Text; Canvas","PARTIAL","No trigger, launcher, or XR interactable found","Decide whether ambient-only behavior is final; if not, add trigger or link-out interaction","Assets/BH_XR_MainScene.unity:29683; Assets/BH_XR_MainScene.unity:5052"
"Backyard/Deck/Garage XR Dreamscape","Evan Starling-Davis","Backyard / deck / garage","Unclear","Generic static grouping _SceneContent/BCaT_Assets/BTMMP_Workstation_Assembly/static; generic package Assets/AssetsStore/Garage_props","BTMMP_Workstation_Assembly static props; Garage_props package","Static workstation props only; no contributor-specific media or URL","No interaction found","Static mesh content only; no contributor-specific scripts","UNCLEAR","Backyard and garage-adjacent assets exist, but nothing ties them directly to Evan Starling-Davis in the current main scene","Confirm intended ownership of BTMMP_Workstation_Assembly or Garage_props and add explicit naming plus interaction if this is the target project","Assets/BH_XR_MainScene.unity:_SceneContent/BCaT_Assets/BTMMP_Workstation_Assembly; Assets/AssetsStore/Garage_props"
"Linda Leaks Archive Project","Jessica Rucker + collaborators","Unspecified","No direct evidence","None found","No attributable assets found by contributor or project name","None","None","None","NOT STARTED","No file-path, prefab, scene, script, media, or URL evidence matching Linda Leaks Archive Project was found","Add or identify the intended assets and scene entry point","Keyword search across Assets and main scene returned no contributor-specific hits"
"Black Kitchen","Yuhanxiao Maggie Ma","Kitchen","Unclear","Assets/BH_XR_MainScene.unity / _SceneContent/Home/KitchenAssets","Generic kitchen packages and location shell exist","KitchenAssets; Cube; Cube (1); Cube (2)","No interaction found","Generic mesh and collider components only","UNCLEAR","Kitchen location exists but no contributor-specific assets, scripts, media, or URLs tie it to Black Kitchen","Identify which kitchen assets belong to this contributor and add explicit scene naming plus interaction/media hooks","Assets/BH_XR_MainScene.unity:_SceneContent/Home/KitchenAssets; Assets/DevDen Arch Viz Scotland/Prefabs/Kitchen Room"
"Getting Home","Meshell Sturgis","Front Porch","Unclear","Generic exterior shell under _SceneContent/Home/HomeFrontStructure and _SceneContent/Home/PatioSofa","Generic exterior and patio assets only","Generic exterior shell only","No interaction found","No contributor-specific scripts/components","UNCLEAR","Front-of-house shell exists but nothing identifies it as Getting Home","Confirm intended location and add explicit project assets, naming, and interaction","Assets/BH_XR_MainScene.unity:_SceneContent/Home/HomeFrontStructure; Assets/BH_XR_MainScene.unity:_SceneContent/Home/PatioSofa"
